neighborhood,price,bedrooms,bathrooms,house_size,property_type,description,neighborhood_description
Willow Creek,"$650,000",4,3.5,"3,500 sqft",Single Family Home,"Step into luxury in this stunning 4-bedroom, 3.5-bathroom home in Willow Creek. The grand foyer leads to a spacious living room with high ceilings and a cozy fireplace. The gourmet kitchen features top-of-the-line appliances and a breakfast nook overlooking the lush backyard. Retreat to the master suite with a spa-like bathroom and walk-in closet. Perfect for entertaining, this home offers a formal dining room and a landscaped patio for outdoor gatherings.","Willow Creek is an upscale neighborhood known for its tree-lined streets and upscale shopping options. Residents enjoy access to top-rated schools, parks, and fine dining establishments. Spend weekends exploring the nearby Willow Creek Country Club or shopping at the exclusive Willow Creek Plaza."
Lakeview Heights,"$900,000",5,4.0,"4,200 sqft",Luxury Estate,"Live in luxury in this exquisite 5-bedroom, 4-bathroom estate in Lakeview Heights. The grand entrance leads to a formal living room with a fireplace and a custom-built bar. The chef's kitchen is equipped with high-end appliances and a large island for culinary creations. Unwind in the master suite with a private balcony and a spa-like bathroom. Entertain guests in the backyard oasis with a pool, spa, and outdoor kitchen.","Lakeview Heights is a prestigious neighborhood known for its panoramic views of the lake and mountains. Residents enjoy access to private hiking trails, lakefront parks, and upscale boutiques. Experience the best of waterfront living in this exclusive enclave."
Maple Grove,"$750,000",3,2.5,"2,800 sqft",Modern Townhouse,"Experience modern living in this sleek 3-bedroom, 2.5-bathroom townhouse in Maple Grove. The open floor plan features a gourmet kitchen with stainless steel appliances and quartz countertops. The master suite boasts a walk-in closet and a spa-like bathroom with dual vanities. Enjoy the rooftop terrace with panoramic views of the city skyline. This townhouse offers urban living at its finest.","Maple Grove is a vibrant neighborhood with trendy cafes, art galleries, and boutique shops. Residents enjoy easy access to public transportation, parks, and cultural attractions. Explore the local farmers' market or catch a show at the historic Maple Grove Theater."
Riverfront District,"$1,200,000",4,3.0,"3,000 sqft",Waterfront Home,"Embrace waterfront living in this luxurious 4-bedroom, 3-bathroom home in the Riverfront District. The expansive windows offer breathtaking views of the river and city skyline. The gourmet kitchen features custom cabinetry and high-end appliances. Relax in the master suite with a private balcony and a spa-like bathroom. Entertain guests in the backyard with a deck overlooking the water.","The Riverfront District is a sought-after waterfront community with marinas, waterfront dining, and riverfront parks. Residents enjoy boating, fishing, and kayaking along the scenic river. Experience the best of waterfront living in this upscale neighborhood."
Oakwood Estates,"$850,000",4,3.0,"3,200 sqft",Colonial Home,"Step back in time in this elegant 4-bedroom, 3-bathroom Colonial home in Oakwood Estates. The formal living room features a fireplace and crown molding, while the formal dining room is perfect for hosting dinner parties. The spacious kitchen offers a breakfast nook and a pantry for storage. Retreat to the master suite with a sitting area and a luxurious bathroom. Enjoy the landscaped backyard with a patio for outdoor entertaining.","Oakwood Estates is a historic neighborhood known for its tree-lined streets and colonial architecture. Residents enjoy access to top-rated schools, parks, and community events. Take a leisurely stroll through the oak-lined avenues or visit the nearby Oakwood Manor for a taste of local history."
Sunset Hills,"$950,000",5,4.0,"4,500 sqft",Mansion,"Live in luxury in this sprawling 5-bedroom, 4-bathroom mansion in Sunset Hills. The grand foyer leads to a formal living room with a crystal chandelier and a marble fireplace. The chef's kitchen is equipped with top-of-the-line appliances and a butler's pantry. Retreat to the master suite with a private balcony and a spa-like bathroom. Entertain guests in the backyard with a pool, spa, and outdoor kitchen.","Sunset Hills is an exclusive enclave known for its luxury estates and panoramic views of the city. Residents enjoy access to private golf courses, country clubs, and upscale shopping destinations. Experience the epitome of luxury living in this prestigious neighborhood."
Pinecrest Heights,"$700,000",3,2.0,"2,400 sqft",Craftsman Bungalow,"Step into charm in this cozy 3-bedroom, 2-bathroom Craftsman bungalow in Pinecrest Heights. The open-concept living space features hardwood floors and custom built-ins. The gourmet kitchen offers a farmhouse sink and butcher block countertops. Relax in the master suite with a walk-in closet and a clawfoot tub. Enjoy the landscaped backyard with a deck and garden beds.","Pinecrest Heights is a picturesque neighborhood with tree-lined streets and historic homes. Residents enjoy access to local parks, farmers' markets, and artisanal shops. Take a leisurely bike ride through the neighborhood or explore the nearby Pinecrest Heights Historic District."
Mountain View Terrace,"$800,000",4,3.0,"3,000 sqft",Mountain Chalet,"Escape to the mountains in this charming 4-bedroom, 3-bathroom mountain chalet in Mountain View Terrace. The cozy living room features a stone fireplace and exposed beams. The updated kitchen offers stainless steel appliances and granite countertops. Retreat to the master suite with a private balcony and a soaking tub. Enjoy the outdoor hot tub and fire pit for year-round relaxation.","Mountain View Terrace is a mountain retreat with stunning views of the surrounding peaks and valleys. Residents enjoy access to hiking trails, ski resorts, and mountain lakes. Experience the beauty of nature in this peaceful mountain community."
Harbor Pointe,"$850,000",4,3.5,"3,500 sqft",Waterfront Townhouse,"Live by the water in this luxurious 4-bedroom, 3.5-bathroom waterfront townhouse in Harbor Pointe. The open-concept living space features panoramic views of the harbor and marina. The chef's kitchen is equipped with high-end appliances and a large island for entertaining. Retreat to the master suite with a private balcony and a spa-like bathroom. Enjoy the waterfront lifestyle with boating and dining options nearby.","Harbor Pointe is a waterfront community known for its marinas, yacht clubs, and seaside dining options. Residents enjoy waterfront living with easy access to boating, fishing, and water sports. Experience the beauty of coastal living in this exclusive enclave."
Vineyard Estates,"$950,000",5,4.0,"4,500 sqft",Vineyard Estate,"Live in luxury in this sprawling 5-bedroom, 4-bathroom vineyard estate in Vineyard Estates. The grand entrance leads to a formal living room with a fireplace and vaulted ceilings. The gourmet kitchen features a wine cellar, granite countertops, and a breakfast nook. Retreat to the master suite with a private balcony and a spa-like bathroom. Enjoy the vineyard views from the outdoor patio and pool.","Vineyard Estates is a wine country retreat with rolling vineyards and picturesque landscapes. Residents enjoy access to award-winning wineries, farm-to-table restaurants, and wine tasting tours. Experience the beauty of wine country living in this exclusive enclave."
